address, balance, GLTO
juno169awyyjuddeeuup9tjysz48hp7lv77xptrv8x7, 1.341758, 10946.91647
juno1f9ms5uugmc9g2slsdhqjwh4j22kh3c55vwre7q, 1.000000, 10946.91647
juno1yrcx9mns54uzgsvs2spdx3fzavppxsuk2c0x99, 11.000000, 10946.91647
juno1h6xcdfj9ff9rk2vyze7f5aeuzt6wt2rw7ye267, 1.000000, 10946.91647
juno1sv9dglyw8kk4pfnldev9ts8gv570p6hsxu726d, 1.000000, 10946.91647
juno1v8a5tfp7mhpqz2ysa7fl6gaw6dp00akt6rhzgw, 0.500000, 10946.91647
juno1akr79fjtmuf8wxjp4gg5q6p8kpc0ml2a9825mz, 1.000000, 10946.91647
juno1c0rgmnxkz4k4uvgwge8j3v8yqu8pvrn0qgkdte, 7.000000, 10946.91647
juno1sc3x6qw0ettcz26a9nvaeftvgcm97qsp9sf9kz, 1.010000, 10946.91647
juno17rjmf8q7senka2cmu3nhpxxns9wx97mf0nc85q, 0.570111, 10946.91647
juno14nf70nu23h0czk8av0jm37rpcq4564nay2lpd0, 0.755760, 10946.91647
juno1gjx68jfw2pv5c5avlshpcqkxed4lpwv0tjjrap, 0.554606, 10946.91647
juno1rhe3eqns0ysehxpnj9xjtxc4wzrlu4l40gmh7a, 2.718463, 10946.91647
juno1wxcjvapspsa5ra5u5e0pkr9d4e5cj3egdx64g5, 2.104339, 10946.91647
juno1n4um9lp8wyypkcq3gtl6pmketg45k9y9gcsgc3, 1.000000, 10946.91647
juno1yr9jazfqrl6xa22fcht73dgtgc4svz4ch0vlr7, 7.065733, 10946.91647
juno15k5y5g3y4qerj47urvk0npau4jd858ju3uynvp, 3.200000, 10946.91647
juno10wp5mpjpcmpc9uzvyqadxjwkne66nrcjfan4yn, 15.520961, 10946.91647
juno1ual3u8mzacdgna5scrwrjp8efx3sju0y70pead, 1.200000, 10946.91647
juno1yjgzzznkukwlggf5ye04raaxerwg4awn29x0hv, 1.163249, 10946.91647
juno1jce3klkr4e3xjhq25ras4rugtqweeqzhp00vne, 3.000000, 10946.91647
juno1zu63qhtd0fj9q7msad78dvfczksz3820358jvn, 1.000000, 10946.91647
juno1xgarpac3a9fgg2kzdy7xetv28lvkd5fh6ay374, 1.092955, 10946.91647
juno1wx6n2kgc8czhrndw74m2qhhgty2vmvmxlkwvfm, 10.801619, 10946.91647
juno1ujgldr2p9h6vavlhg7wmgggjykhjdqnzmp7hgf, 1.000000, 10946.91647
juno1sd2hkpjqevmqva6jvsrrc52kmdshplgyk76j5c, 32.013827, 10946.91647
juno15nk469cdapa2naspud7mmpy4967q7ur4pk5etn, 1.000000, 10946.91647
juno1424u2qwgkjtgvg4lvk2sh2vfd75v25p854295s, 1.000000, 10946.91647
