JUNO Address	JUNO GLTO Amount	OSMO Address	OSMO GLTO Amount	GLTO Total Amount
juno1jf7u589sr24ae47stkfl93t5xkjut3sr2j0pjt	10,063.00			10,063.00
juno1jhd5q4d6v5z3ml5qeprpu4dgk2p9f609uvey4k	10,062.17			10,062.17
juno1adkj9n5v0sfkcklr4ke85zf9d56cwlfd3caqr9	10,061.00			10,061.00
juno1mg39wqcks8p9asu0egvl5f0t492wkmnvkm5n92	10,061.00			10,061.00
juno1qsndfytwe9v2hgfegnplk69n9uk38y2yrswufp	10,061.00			10,061.00
juno1knme0yu0kqqs9azlqnsxl55x392wlewh4w7npc	10,059.83			10,059.83
juno1felgdrfuqvktvhp2l3sqg2gxgtu5r7ufnk3nf2	10,058.00			10,058.00
juno1y72ysu75rkfcu6fga3tuu8j32h0um0xpk9ftja	10,057.75			10,057.75
juno1ap6uxvxqer25y5ev0ce0syqlnmyy45yusnayvw	10,013.38	osmo1ap6uxvxqer25y5ev0ce0syqlnmyy45yuw6d0aq	44.00	10,057.38
juno1uhc2jpk7z4mlgt9u7xpf2vgleupf3ehw3s744r	10,055.37			10,055.37
juno1tx5a55kw4z5a89zlc4056vu7z2emjmj8tr3jnl	10,054.81			10,054.81
juno10rsp2tdhk4pst94qx84pvgrl08mkdf627xemse	10,053.00			10,053.00
juno16ullvj6dgghakutzdmdm0tngsz7222lnmq2xtz	10,052.00			10,052.00
juno17h3uhxathxk6a7u63ye6g24pate06zrmrvlexr	10,052.00			10,052.00
juno1mvk96yps5pjfvkadwkn2lzd5s4v3gg2fzrzqfj	10,051.53			10,051.53
juno1g60teezwmfdj8xxpnd5kehvp25zfzt25x7522a	10,051.36			10,051.36
juno1tvdl4e9lka08ngpwhywt3x2zlm3m68t3tg5upv	10,051.33			10,051.33
juno1c2tzcqu4eycdx98kh3d5asw7qeyhh4llz77jef	0.00	osmo1c2tzcqu4eycdx98kh3d5asw7qeyhh4lluhweg8	10,051.00	10,051.00
juno1rzlnl0yjuztvm7ctkmhc3aj9pyash66nuuvstg	10,051.00	osmo1rzlnl0yjuztvm7ctkmhc3aj9pyash66nz4um6x	0.00	10,051.00
